2015-11-19 14:12:45,335 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-19 14:12:49,049 [Worker-60] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-11-19 14:12:49,096 [Worker-60] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FourHours:JustFourHours:0.0.1-SNAPSHOT @ D:\JustFourHours\JustFourHours\pom.xml.
2015-11-19 14:12:49,205 [Worker-60] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JustFourHours/src/main/java
2015-11-19 14:12:49,205 [Worker-60] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /JustFourHours/src/main/resources
2015-11-19 14:12:49,205 [Worker-60] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JustFourHours/src/test/java
2015-11-19 14:12:49,205 [Worker-60] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /JustFourHours/src/test/resources overlaps with sources folder /JustFourHours/src/test/resources
2015-11-19 14:12:49,330 [Worker-60] ERROR o.e.m2e.wtp.WTPProjectConfigurator - Unable to configure JustFourHours
org.eclipse.m2e.wtp.MarkedException: Unable to configure JustFourHours
	at org.eclipse.m2e.wtp.AbstractProjectConfiguratorDelegate.configureProject(AbstractProjectConfiguratorDelegate.java:97) ~[na:na]
